RDA,mapping,MARC 21 Authority encoding string and recording method
rdaa:P50236,rdakit:hasM21,111 ** $a [structured description]
rdae:P20313,rdakit:hasM21,"111 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t [structured description]"
rdaw:P10331,rdakit:hasM21,"111 ** $a, c, d, e, f, n, p, q, s, t [structured description]"
rdaa:P50373,rdakit:hasM21,"111 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50374,rdakit:hasM21,"111 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50375,rdakit:hasM21,"111 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50403,rdakit:hasM21,"111 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50405,rdakit:hasM21,"111 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50407,rdakit:hasM21,"111 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50024,rdakit:hasM21,111 ** $c [structured description]
rdaa:P50039,rdakit:hasM21,111 ** $d [structured description]
rdaw:P10219,rdakit:hasM21,111 ** $f [structured description]
rdae:P20006,rdakit:hasM21,111 ** $l [structured description]
rdaa:P50019,rdakit:hasM21,111 ** $n [structured description]
rdaa:P50338,rdakit:hasM21,111 1* $a [structured description]
rdaa:P50350,rdakit:hasM21,111 1* $a [structured description]
rdaa:P50338,rdakit:hasM21,111 1* $c [structured description]
rdaa:P50350,rdakit:hasM21,111 1* $c [structured description]
rdae:P20065,rdakit:hasM21,130 ** $6 [identifier] (recording a script of description)
rdae:P20313,rdakit:hasM21,"130 ** $a, d, f, h, k, l, m, n, o, p, r, s [structured description]"
rdaw:P10331,rdakit:hasM21,"130 ** $a, d, f, k, m, n, p, r [structured description]"
rdaw:P10219,rdakit:hasM21,130 ** $f [structured description]
rdae:P20006,rdakit:hasM21,130 ** $l [structured description]
rdaw:P10220,rdakit:hasM21,130 ** $m [structured description]
rdaw:P10079,rdakit:hasM21,130 ** $n [identifier]
rdaw:P10221,rdakit:hasM21,130 ** $r [structured description]
rdae:P20065,rdakit:hasM21,151 ** $6 [identifier] (recording a script of description)
rdap:P70045,rdakit:hasM21,151 ** $a [structured description]
rdae:P20001,rdakit:hasM21,336 ** $0 [identifier]
rdae:P20001,rdakit:hasM21,336 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,336 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,336 ** $6 [identifier] (recording a script of description)
rdae:P20001,rdakit:hasM21,336 ** $a [structured description]
rdae:P20001,rdakit:hasM21,336 ** $b [structured description]
rdaw:P10406,rdakit:hasM21,348 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,348 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,348 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,348 ** $6 [identifier] (recording a script of description)
rdaa:P50490,rdakit:hasM21,368 ** $0 [identifier]
rdaa:P50491,rdakit:hasM21,368 ** $0 [identifier]
rdaa:P50237,rdakit:hasM21,368 ** $0 [identifier]
rdaa:P50238,rdakit:hasM21,368 ** $0 [identifier]
rdaa:P50489,rdakit:hasM21,368 ** $0 [identifier]
rdaa:P50339,rdakit:hasM21,368 ** $0 [identifier]
rdaa:P50343,rdakit:hasM21,368 ** $0 [identifier]
rdaa:P50347,rdakit:hasM21,368 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,368 ** $0 [identifier]
rdaa:P50490,rdakit:hasM21,368 ** $1 [IRI]
rdaa:P50491,rdakit:hasM21,368 ** $1 [IRI]
rdaa:P50237,rdakit:hasM21,368 ** $1 [IRI]
rdaa:P50238,rdakit:hasM21,368 ** $1 [IRI]
rdaa:P50489,rdakit:hasM21,368 ** $1 [IRI]
rdaa:P50339,rdakit:hasM21,368 ** $1 [IRI]
rdaa:P50343,rdakit:hasM21,368 ** $1 [IRI]
rdaa:P50347,rdakit:hasM21,368 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,368 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,368 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,368 ** $6 [identifier] (recording a script of description)
rdaa:P50490,rdakit:hasM21,368 ** $a [unstructured description]
rdaa:P50490,rdakit:hasM21,368 ** $a [structured description]
rdaa:P50491,rdakit:hasM21,368 ** $a [unstructured description]
rdaa:P50491,rdakit:hasM21,368 ** $a [structured description]
rdaa:P50237,rdakit:hasM21,368 ** $a [unstructured description]
rdaa:P50237,rdakit:hasM21,368 ** $a [structured description]
rdaa:P50490,rdakit:hasM21,368 ** $b [unstructured description]
rdaa:P50490,rdakit:hasM21,368 ** $b [structured description]
rdaa:P50491,rdakit:hasM21,368 ** $b [unstructured description]
rdaa:P50491,rdakit:hasM21,368 ** $b [structured description]
rdaa:P50238,rdakit:hasM21,368 ** $b [unstructured description]
rdaa:P50238,rdakit:hasM21,368 ** $b [structured description]
rdaa:P50490,rdakit:hasM21,368 ** $d [unstructured description]
rdaa:P50490,rdakit:hasM21,368 ** $d [structured description]
rdaa:P50489,rdakit:hasM21,368 ** $d [unstructured description]
rdaa:P50489,rdakit:hasM21,368 ** $d [structured description]
rdaa:P50110,rdakit:hasM21,368 ** $d [structured description]
rdaa:P50339,rdakit:hasM21,368 ** $s [structured description]
rdaa:P50343,rdakit:hasM21,368 ** $s [structured description]
rdaa:P50347,rdakit:hasM21,368 ** $s [structured description]
rdaa:P50339,rdakit:hasM21,368 ** $t [structured description]
rdaa:P50343,rdakit:hasM21,368 ** $t [structured description]
rdaa:P50347,rdakit:hasM21,368 ** $t [structured description]
rdaa:P50097,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50119,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50118,rdakit:hasM21,370 ** $0 [identifier]
rdaw:P10218,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50109,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50338,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50342,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50350,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50354,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50346,rdakit:hasM21,370 ** $0 [identifier]
rdaw:P10316,rdakit:hasM21,370 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,370 ** $0 [identifier]
rdaa:P50097,rdakit:hasM21,370 ** $1 [IRI]
rdaa:P50119,rdakit:hasM21,370 ** $1 [IRI]
rdaw:P10218,rdakit:hasM21,370 ** $1 [IRI]
rdaa:P50109,rdakit:hasM21,370 ** $1 [IRI]
rdaa:P50338,rdakit:hasM21,370 ** $1 [IRI]
rdaa:P50342,rdakit:hasM21,370 ** $1 [IRI]
rdaa:P50350,rdakit:hasM21,370 ** $1 [IRI]
rdaa:P50354,rdakit:hasM21,370 ** $1 [IRI]
rdaa:P50346,rdakit:hasM21,370 ** $1 [IRI]
rdaw:P10316,rdakit:hasM21,370 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,370 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,370 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,370 ** $6 [identifier] (recording a script of description)
rdaa:P50119,rdakit:hasM21,370 ** $a [unstructured description]
rdaa:P50119,rdakit:hasM21,370 ** $a [structured description]
rdaa:P50338,rdakit:hasM21,370 ** $a [unstructured description]
rdaa:P50338,rdakit:hasM21,370 ** $a [structured description]
rdaa:P50346,rdakit:hasM21,370 ** $a [unstructured description]
rdaa:P50346,rdakit:hasM21,370 ** $a [structured description]
rdaa:P50118,rdakit:hasM21,370 ** $b [unstructured description]
rdaa:P50118,rdakit:hasM21,370 ** $b [structured description]
rdaa:P50338,rdakit:hasM21,370 ** $b [unstructured description]
rdaa:P50338,rdakit:hasM21,370 ** $b [structured description]
rdaa:P50346,rdakit:hasM21,370 ** $b [unstructured description]
rdaa:P50346,rdakit:hasM21,370 ** $b [structured description]
