Canonical uri,Lexical alias (English)
rdaa:P50521,rdaa:contributorPersonToAggregateOf.en
rdaa:P50522,rdaa:composerPersonOfWorkOf.en
rdaa:P50523,rdaa:addresseePersonOf.en
rdaa:P50524,rdaa:editorialDirectorPersonOf.en
rdaa:P50525,rdaa:cartographerPersonOfWorkOf.en
rdaa:P50526,rdaa:inventorPersonOf.en
rdaa:P50527,rdaa:interviewerPersonOfWorkOf.en
rdaa:P50528,rdaa:aggregatorPersonOf.en
rdaa:P50529,rdaa:architectPersonOf.en
rdaa:P50530,rdaa:filmmakerPersonOf.en
rdaa:P50531,rdaa:landscapeArchitectPersonOf.en
rdaa:P50532,rdaa:screenwriterPersonOf.en
rdaa:P50533,rdaa:lyricistPersonOf.en
rdaa:P50534,rdaa:librettistPersonOf.en
rdaa:P50535,rdaa:dedicateePersonOfWorkOf.en
rdaa:P50536,rdaa:calligrapherPersonOf.en
rdaa:P50537,rdaa:directorPersonOfPhotographyOf.en
rdaa:P50538,rdaa:commissioningPersonOf.en
rdaa:P50539,rdaa:programmerPersonOf.en
rdaa:P50540,rdaa:artistPersonOf.en
rdaa:P50541,rdaa:authorPersonOf.en
rdaa:P50542,rdaa:creatorPersonOfWorkOf.en
rdaa:P50543,rdaa:designerPersonOf.en
rdaa:P50544,rdaa:bookArtistPersonOf.en
rdaa:P50545,rdaa:founderPersonOfWorkOf.en
rdaa:P50546,rdaa:issuingPersonOf.en
rdaa:P50547,rdaa:audioProducerPersonOf.en
rdaa:P50548,rdaa:remixArtistPersonOf.en
rdaa:P50549,rdaa:castingDirectorPersonOf.en
rdaa:P50550,rdaa:producerPersonOf.en
rdaa:P50551,rdaa:filmProducerPersonOf.en
rdaa:P50552,rdaa:radioProducerPersonOf.en
rdaa:P50553,rdaa:televisionProducerPersonOf.en
rdaa:P50554,rdaa:organizerPersonOf.en
rdaa:P50555,rdaa:photographerPersonOfWorkOf.en
rdaa:P50556,rdaa:consultantPersonOf.en
rdaa:P50557,rdaa:rapporteurPersonOf.en
rdaa:P50558,rdaa:researcherPersonOf.en
