RDA,mapping,DCT
rdam:P30155,has broader,dct:format
rdam:P30156,has broader,dct:title
rdam:P30157,has broader,dct:title
rdam:P30159,has broader,dct:format
rdam:P30160,has broader,dct:accessRights
rdam:P30161,has broader,dct:format
rdam:P30164,has broader,dct:format
rdam:P30172,has broader,dct:format
rdam:P30176,has broader,dct:publisher
rdam:P30182,has broader,dct:extent
rdam:P30186,has broader,dct:medium
rdam:P30196,has broader,dct:format
rdam:P30197,has broader,dct:format
rdam:P30198,has broader,dct:format
rdam:P30200,has broader,dct:format
rdam:P30201,has broader,dct:format
rdam:P30202,has broader,dct:format
rdam:P30203,has broader,dct:title
rdam:P30208,has broader,dct:medium
rdam:P30215,has broader,dct:publisher
rdam:P30216,has broader,dct:medium
rdam:P30217,has broader,dct:medium
rdam:P30218,has broader,dct:format
rdam:P30219,has broader,dct:format
rdam:P30220,has broader,dct:format
rdam:P30221,has broader,dct:format
rdam:P30222,has broader,dct:format
rdam:P30223,has broader,dct:medium
rdam:P30224,has broader,dct:format
rdam:P30225,has broader,dct:format
rdam:P30232,has broader,dct:format
rdam:P30233,has broader,dct:format
rdam:P30234,has broader,dct:medium
rdam:P30235,has broader,dct:format
rdam:P30236,has broader,dct:format
rdam:P30237,has broader,dct:format
rdam:P30241,has broader,dct:format
rdam:P30242,has broader,dct:format
rdam:P30244,has broader,dct:format
rdam:P30246,has broader,dct:format
rdam:P30247,has broader,dct:format
rdam:P30248,has broader,dct:format
rdam:P30249,has broader,dct:format
rdam:P30250,has broader,dct:format
rdam:P30251,has broader,dct:format
rdam:P30262,has broader,dct:format
rdam:P30263,has broader,dct:format
rdam:P30265,has broader,dct:relation
rdam:P30266,has broader,dct:relation
rdam:P30275,has broader,dct:format
rdam:P30276,has broader,dct:title
rdam:P30278,has broader,dct:date
rdam:P30280,has broader,dct:description
rdam:P30281,has broader,dct:description
rdam:P30282,has broader,dct:description
rdam:P30283,has broader,dct:description
rdam:P30284,has broader,dct:description
rdam:P30285,has broader,dct:description
rdam:P30286,has broader,dct:description
rdam:P30287,has broader,dct:description
rdam:P30288,has broader,dct:description
rdam:P30289,has broader,dct:description
rdam:P30290,has broader,dct:description
rdam:P30291,has broader,dct:description
rdam:P30292,has broader,dct:description
rdam:P30293,has broader,dct:description
rdam:P30294,has broader,dct:title
rdam:P30295,has broader,dct:title
rdam:P30296,has broader,dct:identifier
rdam:P30299,has broader,dct:isFormatOf
rdam:P30302,has broader,dct:isFormatOf
rdam:P30303,has broader,dct:isFormatOf
rdam:P30304,has broader,dct:medium
rdam:P30305,has broader,dct:audience
rdam:P30307,has broader,dct:format
rdam:P30308,has broader,dct:format
rdam:P30311,has broader,dct:contributor
rdam:P30312,has broader,dct:publisher
rdam:P30315,has broader,dct:contributor
rdam:P30316,has broader,dct:contributor
rdam:P30321,has broader,dct:contributor
rdam:P30326,has broader,dct:contributor
rdam:P30327,has broader,dct:contributor
rdam:P30328,has broader,dct:contributor
rdam:P30329,has broader,dct:publisher
rdam:P30331,has broader,dct:contributor
rdam:P30332,has broader,dct:contributor
rdam:P30333,has broader,dct:contributor
rdam:P30335,has broader,dct:type
rdam:P30336,has broader,dct:contributor
rdam:P30337,has broader,dct:publisher
rdam:P30338,has broader,dct:contributor
rdam:P30339,has broader,dct:contributor
rdam:P30340,has broader,dct:contributor
rdam:P30341,has broader,dct:contributor
rdam:P30342,has broader,dct:contributor
rdam:P30343,has broader,dct:contributor
rdam:P30344,has broader,dct:contributor
rdam:P30345,has broader,dct:contributor
rdam:P30346,has broader,dct:contributor
rdam:P30347,has broader,dct:publisher
rdam:P30348,has broader,dct:publisher
rdam:P30349,has broader,dct:publisher
rdam:P30350,has broader,dct:publisher
rdam:P30351,has broader,dct:publisher
rdam:P30352,has broader,dct:publisher
rdam:P30353,has broader,dct:publisher
rdam:P30354,has broader,dct:publisher
rdam:P30355,has broader,dct:publisher
rdam:P30356,has broader,dct:publisher
rdam:P30357,has broader,dct:publisher
rdam:P30358,has broader,dct:publisher
rdam:P30359,has broader,dct:publisher
rdam:P30360,has broader,dct:publisher
rdam:P30361,has broader,dct:publisher
rdam:P30362,has broader,dct:publisher
rdam:P30363,has broader,dct:publisher
rdam:P30364,has broader,dct:publisher
rdam:P30365,has broader,dct:contributor
rdam:P30366,has broader,dct:publisher
rdam:P30367,has broader,dct:contributor
rdam:P30368,has broader,dct:contributor
rdam:P30369,has broader,dct:contributor
rdam:P30370,has broader,dct:contributor
