*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has first alphanumeric designation of alternative sequence,rdamd:firstAlphanumericDesignationOfAlternativeSequence.en,rdamd:P30097,property,rdac:C10007,rdam:P30097,rdamd:P30147,,Published
has first alphanumeric designation of sequence,rdamd:firstAlphanumericDesignationOfSequence.en,rdamd:P30147,property,rdac:C10007,rdam:P30147,rdamd:P30274,,Published
has first chronological designation of alternative sequence,rdamd:firstChronologicalDesignationOfAlternativeSequence.en,rdamd:P30099,property,rdac:C10007,rdam:P30099,rdamd:P30149,,Published
has first chronological designation of sequence,rdamd:firstChronologicalDesignationOfSequence.en,rdamd:P30149,property,rdac:C10007,rdam:P30149,rdamd:P30274,,Published
has font point size,rdamd:fontPointSize.en,rdamd:P30306,property,rdac:C10007,rdam:P30306,,,Published
has font size,rdamd:fontSize.en,rdamd:P30199,property,rdac:C10007,rdam:P30199,,,Published
has generation,rdamd:generation.en,rdamd:P30191,property,rdac:C10007,rdam:P30191,,,Published
has groove characteristic,rdamd:grooveCharacteristic.en,rdamd:P30164,property,rdac:C10007,rdam:P30164,rdamd:P30125,,Published
has groove pitch,rdamd:groovePitch.en,rdamd:P30307,property,rdac:C10007,rdam:P30307,rdamd:P30164,,Published
has groove width,rdamd:grooveWidth.en,rdamd:P30308,property,rdac:C10007,rdam:P30308,rdamd:P30164,,Published
has identifier for manifestation,rdamd:identifierForManifestation.en,rdamd:P30004,property,rdac:C10007,rdam:P30004,rdamd:P30277,rdaxd:P00018,Published
has illustrative content,rdamd:illustrativeContent.en,rdamd:P30453,property,rdac:C10007,rdam:P30453,rdamd:P30455,,Published
has insert,rdamd:insert.en,rdamd:P30022,property,rdac:C10007,rdam:P30022,rdamd:P30033,,Published
is inserted in,rdamd:insertedIn.en,rdamd:P30025,property,rdac:C10007,rdam:P30025,rdamd:P30020,,Published
has intended audience of manifestation,rdamd:intendedAudienceOfManifestation.en,rdamd:P30305,property,rdac:C10007,rdam:P30305,,,Published
is issued with,rdamd:issuedWith.en,rdamd:P30035,property,rdac:C10007,rdam:P30035,rdamd:P30027,,Published
has last alphanumeric designation of alternative sequence,rdamd:lastAlphanumericDesignationOfAlternativeSequence.en,rdamd:P30098,property,rdac:C10007,rdam:P30098,rdamd:P30148,,Published
