*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has television producer family,rdawd:televisionProducerFamily.en,rdawd:P10565,property,rdac:C10001,rdaw:P10565,rdawd:P10595,rdawd:P10471,Published
has landscape architect family,rdawd:landscapeArchitectFamily.en,rdawd:P10566,property,rdac:C10001,rdaw:P10566,rdawd:P10579,rdawd:P10472,Published
has calligrapher family,rdawd:calligrapherFamily.en,rdawd:P10567,property,rdac:C10001,rdaw:P10567,rdawd:P10592,rdawd:P10473,Published
has sculptor family,rdawd:sculptorFamily.en,rdawd:P10568,property,rdac:C10001,rdaw:P10568,rdawd:P10592,rdawd:P10474,Published
has book artist family,rdawd:bookArtistFamily.en,rdawd:P10569,property,rdac:C10001,rdaw:P10569,rdawd:P10592,rdawd:P10475,Published
has screenwriter family,rdawd:screenwriterFamily.en,rdawd:P10570,property,rdac:C10001,rdaw:P10570,rdawd:P10577,rdawd:P10476,Published
has lyricist family,rdawd:lyricistFamily.en,rdawd:P10571,property,rdac:C10001,rdaw:P10571,rdawd:P10577,rdawd:P10477,Published
has librettist family,rdawd:librettistFamily.en,rdawd:P10572,property,rdac:C10001,rdaw:P10572,rdawd:P10577,rdawd:P10478,Published
has rapporteur family,rdawd:rapporteurFamily.en,rdawd:P10573,property,rdac:C10001,rdaw:P10573,rdawd:P10577,rdawd:P10479,Published
has honouree family of work,rdawd:honoureeFamilyOfWork.en,rdawd:P10574,property,rdac:C10001,rdaw:P10574,rdawd:P10313,rdawd:P10480,Published
has choreographer family,rdawd:choreographerFamily.en,rdawd:P10575,property,rdac:C10001,rdaw:P10575,rdawd:P10578,rdawd:P10481,Published
has cartographer family of work,rdawd:cartographerFamilyOfWork.en,rdawd:P10576,property,rdac:C10001,rdaw:P10576,rdawd:P10578,rdawd:P10482,Published
has author family,rdawd:authorFamily.en,rdawd:P10577,property,rdac:C10001,rdaw:P10577,rdawd:P10578,rdawd:P10483,Published
has creator family of work,rdawd:creatorFamilyOfWork.en,rdawd:P10578,property,rdac:C10001,rdaw:P10578,rdawd:P10313,rdawd:P10484,Published
has architect family,rdawd:architectFamily.en,rdawd:P10579,property,rdac:C10001,rdaw:P10579,rdawd:P10578,rdawd:P10485,Published
has commissioning body family,rdawd:commissioningBodyFamily.en,rdawd:P10580,property,rdac:C10001,rdaw:P10580,rdawd:P10313,rdawd:P10486,Published
has programmer family,rdawd:programmerFamily.en,rdawd:P10581,property,rdac:C10001,rdaw:P10581,rdawd:P10578,rdawd:P10487,Published
has designer family,rdawd:designerFamily.en,rdawd:P10582,property,rdac:C10001,rdaw:P10582,rdawd:P10578,rdawd:P10488,Published
has composer family of work,rdawd:composerFamilyOfWork.en,rdawd:P10583,property,rdac:C10001,rdaw:P10583,rdawd:P10578,rdawd:P10489,Published
has inventor family,rdawd:inventorFamily.en,rdawd:P10584,property,rdac:C10001,rdaw:P10584,rdawd:P10578,rdawd:P10490,Published
has compiler family,rdawd:compilerFamily.en,rdawd:P10585,property,rdac:C10001,rdaw:P10585,rdawd:P10578,rdawd:P10491,Published
has photographer family of work,rdawd:photographerOfWorkFamily.en,rdawd:P10586,property,rdac:C10001,rdaw:P10586,rdawd:P10578,rdawd:P10492,Published
has interviewer family of work,rdawd:interviewerFamilyOfWork.en,rdawd:P10587,property,rdac:C10001,rdaw:P10587,rdawd:P10578,rdawd:P10493,Published
